term,estimate,std.error,statistic,p.value
(Intercept),2.4339193229600795,0.33132375901407135,7.346045240470397,2.1718628719292897e-9
hsgradratediff,0.13052009952092788,0.10296785462521783,1.2675810328960884,0.21106250614054547
