term,estimate,std.error,statistic,p.value
(Intercept),14.247328859769858,8.193222755183928,1.738916331886063,0.08846011046246832
mmr_mean,-0.12310206122470158,0.0876320479930923,-1.4047607472828347,0.16653104599898494
