term,estimate,std.error,statistic,p.value
(Intercept),1.9662272776682024,0.4732798292070328,4.1544708993040365,1.332371145033555e-4
frac_years_below_95,1.2298301802132847,0.6633369558090747,1.854005222298004,0.0698885298099479
