term,estimate,std.error,statistic,p.value
(Intercept),27.707011202685617,33.173903255846604,0.8352050402089028,0.40782794191934557
hsgradratediff,14.742517131661089,10.363557313574283,1.4225344334566667,0.16147458536836692
